"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Betz-Stablein B.; D'Alessandro B.; Koh U.; Plasmeijer E.; Janda M.; Menzies S.W.; Hofmann-Wellenhof R.; Green A.C.; Soyer H.P.","Betz-Stablein, Brigid (55622859100); D'Alessandro, Brian (26421651000); Koh, Uyen (57204630107); Plasmeijer, Elsemieke (8239787200); Janda, Monika (7005192283); Menzies, Scott W. (7003551387); Hofmann-Wellenhof, Rainer (7004110047); Green, Adele C. (57220663162); Soyer, H. Peter (7102788402)","55622859100; 26421651000; 57204630107; 8239787200; 7005192283; 7003551387; 7004110047; 57220663162; 7102788402","Reproducible Naevus Counts Using 3D Total Body Photography and Convolutional Neural Networks","2022","Dermatology","238","1","","4","11","36","10.1159/000517218","https://www.scopus.com/pages/publications/85111673787?origin=resultslist","Background: The number of naevi on a person is the strongest risk factor for melanoma; however, naevus counting is highly variable due to lack of consistent methodology and lack of inter-rater agreement. Machine learning has been shown to be a valuable tool for image classification in dermatology. Objectives: To test whether automated, reproducible naevus counts are possible through the combination of convolutional neural networks (CNN) and three-dimensional (3D) total body imaging. Methods: Total body images from a study of naevi in the general population were used for the training (82 subjects, 57,742 lesions) and testing (10 subjects; 4,868 lesions) datasets for the development of a CNN. Lesions were labelled as naevi, or not (""non-naevi""), by a senior dermatologist as the gold standard. Performance of the CNN was assessed using sensitivity, specificity, and Cohen's kappa, and evaluated at the lesion level and person level. Results: Lesion-level analysis comparing the automated counts to the gold standard showed a sensitivity and specificity of 79% (76-83%) and 91% (90-92%), respectively, for lesions ≥2 mm, and 84% (75-91%) and 91% (88-94%) for lesions ≥5 mm. Cohen's kappa was 0.56 (0.53-0.59) indicating moderate agreement for naevi ≥2 mm, and substantial agreement (0.72, 0.63-0.80) for naevi ≥5 mm. For the 10 individuals in the test set, person-level agreement was assessed as categories with 70% agreement between the automated and gold standard counts. Agreement was lower in subjects with numerous seborrhoeic keratoses. Conclusion: Automated naevus counts with reasonable agreement to those of an expert clinician are possible through the combination of 3D total body photography and CNNs. Such an algorithm may provide a faster, reproducible method over the traditional in person total body naevus counts. © 2021 The Author(s) Published by S. Karger AG, Basel.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85111673787"
"Solak A.","Solak, Ahmet (57221815832)","57221815832","HCHS-Net: A Multimodal Handcrafted Feature and Metadata Framework for Interpretable Skin Lesion Classification","2026","Biomimetics","11","2","154","","","0","10.3390/biomimetics11020154","https://www.scopus.com/pages/publications/105031272531?origin=resultslist","Accurate and timely classification of skin lesions is critical for early cancer detection, yet current deep learning approaches suffer from high computational costs, limited interpretability, and poor transparency for clinical deployment. This study presents HCHS-Net, a lightweight and interpretable multimodal framework for six-class skin lesion classification on the PAD-UFES-20 dataset. The proposed framework extracts a 116-dimensional visual feature vector through three complementary handcrafted modules: a Color Module employing multi-channel histogram analysis to capture chromatic diagnostic patterns, a Haralick Module deriving texture descriptors from the gray-level co-occurrence matrix (GLCM) that quantify surface characteristics correlated with malignancy, and a Shape Module encoding morphological properties via Hu moment invariants aligned with the clinical ABCD rule. The architectural design of HCHS-Net adopts a biomimetic approach by emulating the hierarchical information processing of the human visual system and the cognitive diagnostic workflows of expert dermatologists. Unlike conventional black-box deep learning models, this framework employs parallel processing branches that simulate the selective attention mechanisms of the human eye by focusing on biologically significant visual cues such as chromatic variance, textural entropy, and morphological asymmetry. These visual features are concatenated with a 12-dimensional clinical metadata vector encompassing patient demographics and lesion characteristics, yielding a compact 128-dimensional multimodal representation. Classification is performed through an ensemble of three gradient boosting algorithms (XGBoost, LightGBM, CatBoost) with majority voting. HCHS-Net achieves 97.76% classification accuracy with only 0.25 M parameters, outperforming deep learning baselines, including VGG-16 (94.60%), ResNet-50 (94.80%), and EfficientNet-B2 (95.16%), which require 60–97× more parameters. The framework delivers an inference time of 0.11 ms per image, enabling real-time classification on standard CPUs without GPU acceleration. Ablation analysis confirms the complementary contribution of each feature module, with metadata integration providing a 2.53% accuracy gain. The model achieves perfect melanoma and nevus recall (100%) with 99.55% specificity, maintaining reliable discrimination at safety-critical diagnostic boundaries. Comprehensive benchmarking against 13 published methods demonstrates that domain-informed handcrafted features combined with clinical metadata can match or exceed deep learning fusion approaches while offering superior interpretability and computational efficiency for point-of-care deployment. © 2026 by the author.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105031272531"
"Pallocca M.; Molineris I.; Berrino E.; Marcozzi B.; Betti M.; Levati L.; D’Atri S.; Menin C.; Madonna G.; Ghiorzo P.; Bulgarelli J.; Ferraresi V.; Venesio T.; Rodolfo M.; Rivoltini L.; Lanfrancone L.; Ascierto P.A.; Mazzarella L.; Pelicci P.G.; De Maria R.; Ciliberto G.; Medico E.; Russo G.","Pallocca, Matteo (55919285100); Molineris, Ivan (23470172600); Berrino, Enrico (57192644950); Marcozzi, Benedetta (57923847800); Betti, Martina (57729355500); Levati, Lauretta (6505763455); D’Atri, Stefania (7003513921); Menin, Chiara (6701802666); Madonna, Gabriele (55103120900); Ghiorzo, Paola (57220337660); Bulgarelli, Jenny (55248386300); Ferraresi, Virgina (9735482700); Venesio, Tiziana (57189618731); Rodolfo, Monica (7004551188); Rivoltini, Licia (7005431898); Lanfrancone, Luisa (7003755908); Ascierto, Paolo Antonio (6701588348); Mazzarella, Luca (28367874000); Pelicci, Pier Giuseppe (35379722300); De Maria, Ruggero (60007576500); Ciliberto, Gennaro (55368402800); Medico, Enzo (6602992818); Russo, Giandomenico (7202429870)","55919285100; 23470172600; 57192644950; 57923847800; 57729355500; 6505763455; 7003513921; 6701802666; 55103120900; 57220337660; 55248386300; 9735482700; 57189618731; 7004551188; 7005431898; 7003755908; 6701588348; 28367874000; 35379722300; 60007576500; 55368402800; 6602992818; 7202429870","Comprehensive genomic profiling on metastatic Melanoma: results from a network screening from 7 Italian Cancer Centres","2024","Journal of Translational Medicine","22","1","29","","","6","10.1186/s12967-023-04776-2","https://www.scopus.com/pages/publications/85181526697?origin=resultslist","Background: The current therapeutic algorithm for Advanced Stage Melanoma comprises of alternating lines of Targeted and Immuno-therapy, mostly via Immune-Checkpoint blockade. While Comprehensive Genomic Profiling of solid tumours has been approved as a companion diagnostic, still no approved predictive biomarkers are available for Melanoma aside from BRAF mutations and the controversial Tumor Mutational Burden. This study presents the results of a Multi-Centre Observational Clinical Trial of Comprehensive Genomic Profiling on Target and Immuno-therapy treated advanced Melanoma. Methods: 82 samples, collected from 7 Italian Cancer Centres of FFPE-archived Metastatic Melanoma and matched blood were sequenced via a custom-made 184-gene amplicon-based NGS panel. Sequencing and bioinformatics analysis was performed at a central hub. Primary analysis was carried out via the Ion Reporter framework. Secondary analysis and Machine Learning modelling comprising of uni and multivariate, COX/Lasso combination, and Random Forest, was implemented via custom R/Python scripting. Results: The genomics landscape of the ACC-mela cohort is comparable at the somatic level for Single Nucleotide Variants and INDELs aside a few gene targets. All the clinically relevant targets such as BRAF and NRAS have a comparable distribution thus suggesting the value of larger scale sequencing in melanoma. No comparability is reached at the CNV level due to biotechnological biases and cohort numerosity. Tumour Mutational Burden is slightly higher in median for Complete Responders but fails to achieve statistical significance in Kaplan–Meier survival analysis via several thresholding strategies. Mutations on PDGFRB, NOTCH3 and RET were shown to have a positive effect on Immune-checkpoint treatment Overall and Disease-Free Survival, while variants in NOTCH4 were found to be detrimental for both endpoints. Conclusions: The results presented in this study show the value and the challenge of a genomics-driven network trial. The data can be also a valuable resource as a validation cohort for Immunotherapy and Target therapy genomic biomarker research. © 2023, The Author(s).","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85181526697"
"Vollmer A.S.; Winkler J.K.; Kommoss K.S.; Blum A.; Stolz W.; Enk A.; Haenssle H.A.","Vollmer, A.S. (57986619800); Winkler, J.K. (57191580858); Kommoss, K.S. (58147807500); Blum, A. (55644610100); Stolz, W. (55422932100); Enk, A. (55094698000); Haenssle, H.A. (6603657821)","57986619800; 57191580858; 58147807500; 55644610100; 55422932100; 55094698000; 6603657821","Identifying melanoma among benign simulators – Is there a role for deep learning convolutional neural networks? (MelSim Study)","2025","European Journal of Cancer","227","","115706","","","4","10.1016/j.ejca.2025.115706","https://www.scopus.com/pages/publications/105013116487?origin=resultslist","Importance: Early detection of cutaneous melanoma (CM) is crucial for patient survival, yet avoiding overdiagnosis remains essential. Differentiating CM from benign melanoma simulators (MelSim) is challenging due to overlapping features. Deep learning convolutional neural networks (DL-CNNs) have demonstrated dermatologist-level accuracy in identifying CM. We hypothesized that support from DL-CNN could increase dermatologists’ accuracy in differentiating CM from MelSim. Methods: This cross-sectional reader study analyzed the diagnostic performance of a DL-CNN and 27 dermatologists for 200 skin lesions (100 CM, 100 MelSim). The DL-CNN assigned malignancy scores ranging from 0 to 1 (> 0.5 indicating malignancy). Dermatologists assessed lesions across three levels: (I) dermoscopy only, (II) full case information (dermoscopy, close-up images, metadata), and (III) full case information plus DL-CNN scores. Primary outcomes were sensitivity, specificity, and ROC-AUC of dermatologists with or without DL-CNN-support (level-II versus -III). Results: The DL-CNN and dermatologists in level-II showed a comparable sensitivity (95 % CI) of 90.0 % (82.6–94.5 %) and 90.1 % (86.9–93.2 %, p = 0.153), respectively. However, the DL-CNN's specificity (67.0 % (57.3–75.4 %) versus 73.2 % (69.1–77.3 %)) and ROC-AUC (0.889 (0.845–0.932) versus 0.951 (0.920–0.982)) were significantly lower than for dermatologists (all p < 0.01). When dermatologists integrated DL-CNN predictions (level-III) their sensitivity increased to 91.4 % (88.3–94.5 %, p < 0.001) without markedly changing specificity (74.2 % (70.6–77.7 %, p = 0.435)) or ROC-AUC (0.954 (0.927–0.982, p = 0.581)). Conclusion: Collaboration with a DL-CNN slightly improved dermatologists’ diagnostic accuracy in a mixed CM and MelSim dataset, by increasing sensitivity without a loss of specificity. The DL-CNN's level of sensitivity in this difficult-to-diagnose dataset underlines the potential as an assistant diagnostic tool. © 2025 The Authors","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105013116487"
"Afnouch M.; Bougourzi F.; Gaddour O.; Dornaika F.; Ahmed A.T.","Afnouch, Marwa (57465551200); Bougourzi, Fares (57208134017); Gaddour, Olfa (35743285300); Dornaika, Fadi (55967501800); Ahmed, Abdelmalik Taleb (59454643100)","57465551200; 57208134017; 35743285300; 55967501800; 59454643100","Artificial intelligence in bone metastasis analysis: Current advancements, opportunities and challenges","2025","Computers in Biology and Medicine","194","","110372","","","1","10.1016/j.compbiomed.2025.110372","https://www.scopus.com/pages/publications/105007100288?origin=resultslist","Background: Artificial Intelligence is transforming medical imaging, particularly in the analysis of bone metastases (BM), a serious complication of advanced cancers. Machine learning and deep learning techniques offer new opportunities to improve detection, recognition, and segmentation of bone metastasis. Yet, challenges such as limited data, interpretability, and clinical validation remain. Methods: Following PRISMA guidelines, we reviewed artificial intelligence methods and applications for bone metastasis analysis across major imaging modalities including CT, MRI, PET, SPECT, and bone scintigraphy. The survey includes traditional machine learning models and modern deep learning architectures such as CNNs and transformers. We also examined available datasets and their effect in developing artificial intelligence in this field. Results: Artificial intelligence models have achieved strong performance across tasks and modalities, with Convolutional Neural Network (CNN) and Transformer architectures showing particularly efficient performance across different tasks. However, limitations persist, including data imbalance, overfitting risks, and the need for greater transparency. Clinical translation is also challenged by regulatory and validation hurdles. Conclusion: Artificial intelligence holds strong potential to improve BM diagnosis and streamline radiology workflows. To reach clinical maturity, future work must address data diversity, model explainability, and large-scale validation, which are critical steps for being trusted to be integrated into the oncology care routines. © 2025 The Authors","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105007100288"
"Rocha Liedl E.; Yassin S.M.; Kasapi M.; Posma J.M.","Rocha Liedl, Eloisa (59409258600); Yassin, Shabeer Mohamed (59338353300); Kasapi, Melpomeni (57201311009); Posma, Joram M. (55044497300)","59409258600; 59338353300; 57201311009; 55044497300","Topological embedding and directional feature importance in ensemble classifiers for multi-class classification","2024","Computational and Structural Biotechnology Journal","23","","","4108","4123","1","10.1016/j.csbj.2024.11.013","https://www.scopus.com/pages/publications/85208971627?origin=resultslist","Cancer is the second leading cause of disease-related death worldwide, and machine learning-based identification of novel biomarkers is crucial for improving early detection and treatment of various cancers. A key challenge in applying machine learning to high-dimensional data is deriving important features in an interpretable manner to provide meaningful insights into the underlying biological mechanisms We developed a class-based directional feature importance (CLIFI) metric for decision tree methods and demonstrated its use for The Cancer Genome Atlas proteomics data. The CLIFI metric was incorporated into four algorithms, Random Forest (RF), LAtent VAriable Stochastic Ensemble of Trees (LAVASET), and Gradient Boosted Decision Trees (GBDTs), and a new extension incorporating the LAVA step into GBDTs (LAVABOOST). Both LAVA methods incorporate topological information from protein interactions into the decision function. The different models' performance in classifying 28 cancers resulted in F1-scores of 92.6% (RF), 92.0% (LAVASET), 89.3% (LAVABOOST) and 85.7% (GBDT), with no method outperforming all others for individual cancer type prediction. The CLIFI metric enables visualisation of the model's decision-making functions. The resulting CLIFI value distributions indicated heterogeneity in the expression of several proteins (MYH11, ERα, BCL2) across different cancer types (including brain glioma, breast, kidney, thyroid and prostate cancer) aligning with the original raw expression data. In conclusion, we have developed an integrated, directional feature importance metric for multi-class decision tree-based classification models that facilitates interpretable feature importance assessment. The CLIFI metric can be combined with incorporating topological information into the decision functions of models to introduce inductive bias, enhancing interpretability. © 2024 The Authors","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85208971627"
"Useini V.; Tanadini-Lang S.; Lohmeyer Q.; Meboldt M.; Andratschke N.; Braun R.P.; Barranco García J.","Useini, Vullnet (58176098500); Tanadini-Lang, Stephanie (57192161267); Lohmeyer, Quentin (43461718100); Meboldt, Mirko (22835485400); Andratschke, Nicolaus (6603482514); Braun, Ralph P. (7402220663); Barranco García, Javier (57824723100)","58176098500; 57192161267; 43461718100; 22835485400; 6603482514; 7402220663; 57824723100","Automatized self-supervised learning for skin lesion screening","2024","Scientific Reports","14","1","12697","","","12","10.1038/s41598-024-61681-4","https://www.scopus.com/pages/publications/85194997151?origin=resultslist","Melanoma, the deadliest form of skin cancer, has seen a steady increase in incidence rates worldwide, posing a significant challenge to dermatologists. Early detection is crucial for improving patient survival rates. However, performing total body screening (TBS), i.e., identifying suspicious lesions or ugly ducklings (UDs) by visual inspection, can be challenging and often requires sound expertise in pigmented lesions. To assist users of varying expertise levels, an artificial intelligence (AI) decision support tool was developed. Our solution identifies and characterizes UDs from real-world wide-field patient images. It employs a state-of-the-art object detection algorithm to locate and isolate all skin lesions present in a patient’s total body images. These lesions are then sorted based on their level of suspiciousness using a self-supervised AI approach, tailored to the specific context of the patient under examination. A clinical validation study was conducted to evaluate the tool’s performance. The results demonstrated an average sensitivity of 95% for the top-10 AI-identified UDs on skin lesions selected by the majority of experts in pigmented skin lesions. The study also found that the tool increased dermatologists’ confidence when formulating a diagnosis, and the average majority agreement with the top-10 AI-identified UDs reached 100% when assisted by our tool. With the development of this AI-based decision support tool, we aim to address the shortage of specialists, enable faster consultation times for patients, and demonstrate the impact and usability of AI-assisted screening. Future developments will include expanding the dataset to include histologically confirmed melanoma and validating the tool for additional body regions. © The Author(s) 2024.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85194997151"
"Sgouros D.; Karampinis E.; Theofili M.; Pappa G.; Theofilis P.; Theotokoglou S.; Syrmali A.; Katoulis A.","Sgouros, Dimitrios (55887342700); Karampinis, Emmanouil (57207858455); Theofili, Melpomeni (57224937632); Pappa, Georgia (57224935405); Theofilis, Panagiotis (57208865290); Theotokoglou, Sofia (22941863100); Syrmali, Anna (57223418881); Katoulis, Alexander (6701557048)","55887342700; 57207858455; 57224937632; 57224935405; 57208865290; 22941863100; 57223418881; 6701557048","Exploring Laser-Induced Plasma Spectroscopy for Skin Cancer Patients: A Preliminary Study","2025","Diagnostics","15","16","2116","","","0","10.3390/diagnostics15162116","https://www.scopus.com/pages/publications/105014926698?origin=resultslist","Skin cancer is the most frequently diagnosed form of cancer worldwide. Diagnostic uncertainty can arise when macroscopic or dermoscopic evaluations do not clearly differentiate between benign and malignant lesions. Laser-induced plasma spectroscopy (LIPS), traditionally used in fields like materials science and environmental analysis, has recently gained attention for its applications in human tissue assessment. LIPS works by generating a (micro)plasma when a laser interacts with tissue, producing element-specific light emissions that can be analyzed in real time. In this study, we explored the potential of LIPS to differentiate between benign and malignant skin lesions using the Spectra-Scope® Score (SSS). Our results revealed a clear distinction: benign lesions showed a median SSS of 1.7, while suspicious and malignant lesions had a significantly higher median score of 8.1 (p < 0.001). Receiver operating characteristic (ROC) curve analysis demonstrated strong diagnostic performance, with an area under the curve (AUC) of 0.82 (p < 0.001). The findings of this preliminary study support the high accuracy of LIPS in identifying malignancy and underscore its promise as a non-invasive, real-time diagnostic aid. Integrating SSS into clinical workflows could enhance the early detection of skin cancer and reduce reliance on invasive diagnostic procedures. However, further validation is needed to fully establish its role in routine dermatological practice. © 2025 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105014926698"
"Tepedino M.; Baltazar D.; Hanna K.; Bridges A.; Billot L.; Zeitouni N.C.","Tepedino, Miguel (59261749600); Baltazar, David (57205743129); Hanna, Karim (57217859271); Bridges, Alina (59268561100); Billot, Laurent (23097231900); Zeitouni, Nathalie C. (6701814759)","59261749600; 57205743129; 57217859271; 59268561100; 23097231900; 6701814759","Elastic Scattering Spectroscopy on Patient-Selected Lesions Concerning for Skin Cancer","2024","Journal of the American Board of Family Medicine","37","3","","427","435","11","10.3122/jabfm.2023.230256R2","https://www.scopus.com/pages/publications/85201308407?origin=resultslist","Background: Access to dermatologists is limited in parts of the US, making primary care clinicians (PCCs) integral for early detection of skin cancers. A handheld device using elastic scattering spectroscopy (ESS) was developed to aid PCCs in their clinical assessment of skin lesions. Methods: In this prospective study, 3 PCCs evaluated skin lesions reported by patients as concerning and scanned each lesion with the handheld ESS device. The comparison was pathology results or a 3-dermatologist panel examining high resolution dermatoscopic and clinical images. PCCs reported their diagnosis, management decision, and confidence level for each lesion. Evaluation of results included sensitivity, specificity, negative predictive value (NPV), positive predictive value (PPV), and Area Under the Curve (AUC). Results: A total of 155 patients and 178 lesions were included in the final analysis. The most commonly patient-reported concerning feature was “new or changing lesion” (91.6%). Device diagnostic sensitivity and specificity were 90.0% and 60.7%, respectively, based on biopsy result or dermatologist panel reference standard; comparatively, PCC sensitivity was 40.0% and 84.8% specificity without the use of the device. Device NPV was 98.9%, and device PPV was 13.6%. The device recommended patient referral to dermatology with 88.2% concordance with the dermatologist panel. AUC for the device and PCCs were 0.815 and 0.643, respectively. Conclusions: The use of the ESS device by PCCs can improve diagnostic and management sensitivity for select malignant skin lesions by correctly classifying most benign lesions of patient concern. This may increase skin cancer detection while improving access to specialist care. © 2024 American Board of Family Medicine. All rights reserved.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85201308407"
"Gillstedt M.; Stempfle L.; Paoli J.; Johansson F.D.; Polesie S.","Gillstedt, Martin (39961170700); Stempfle, Lena (57252579700); Paoli, John (14631010100); Johansson, Fredrik D. (57205955235); Polesie, Sam (40262246200)","39961170700; 57252579700; 14631010100; 57205955235; 40262246200","Predicting Melanoma Impact on the Swedish Healthcare System from the Adult Population Using Machine Learning on Registry Data","2026","Acta Dermato-Venereologica","106","","adv44610","","","0","10.2340/actadv.v106.44610","https://www.scopus.com/pages/publications/105035265847?origin=resultslist","Melanoma incidence has increased in Western countries over the past 50 years, leading to significant healthcare costs. In Sweden, comprehensive healthcare registries enable large-scale prediction studies using machine learning. Several machine learning models were evaluated to predict melanoma diagnoses using Swedish registry data, assessing the added value of diagnostic and medication data beyond demographics. The study included all adults in Sweden with continuous residency for 9.5 years (n = 6,036,186). The outcome was a melanoma diagnosis, including melanoma in situ, recorded within 5 years after the index date (31 December 2014). Predictors included age, sex, income, education, marital status, region of birth, diagnoses, and dispensed drugs. Models tested were logistic regression, gradient boosting, random forests, and a neural network. A total of 38,582 individuals (0.64%) developed melanoma. The gradient boosting model using all predictors performed best, with an area under the receiving operating characteristics curve (AUC) of 0.735 (95% confidence interval [CI], 0.725–0.746). When diagnosis and medication data were excluded, AUC dropped to 0.681 (95% CI: 0.670–0.691). The findings highlight that including healthcare codes improves predictive performance, and demonstrate the utility of Swedish registries for computational phenotyping. This approach may support early detection of melanoma and targeted follow-up. © Author(s).","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105035265847"
